id,name,air_date,director,writer,characters,img_url
13,The Grand Surrender,07/08/2019,Anne Walker Farrell,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_grand_surrender.jpg
14,The Other Side,06/15/2019,Ben Bjelajac,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_other_side.jpg
15,The Notorious Mrs. Goodspeed,06/22/2019,Yoriaki Mochizuki,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/16']",http://finalspaceapi.com/api/episode/image/the_notorious_mrs_goodspeed.jpg
16,The Arachnitects,06/29/2019,Anne Walker Farrell,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/18']",http://finalspaceapi.com/api/episode/image/the_arachnitects.jpg
17,The First Times They Met,07/05/2019,Olan Rogers,Ben Bjelajac,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_first_times_they_met.jpg
18,The Remembered,07/12/2019,Olan Rogers,Yoriaki Mochizuki,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13']",http://finalspaceapi.com/api/episode/image/the_remembered.jpg
19,The Closer You Get,07/19/2019,Ben Bjelajac,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/11', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/22']",http://finalspaceapi.com/api/episode/image/the_closer_you_get.jpg
20,The Lost Spy,07/26/2019,Anne Walker Farrell,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/15', 'https://finalspaceapi.com/api/v0/character/16']",http://finalspaceapi.com/api/episode/image/the_lost_spy.jpg
21,The Set Up,08/09/2019,Anne Walker Farrell,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/10', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/16']",http://finalspaceapi.com/api/episode/image/the_set_up.jpg
22,The Descent Into Darkness,08/16/2019,Yoriaki Mochizuki,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/16', 'https://finalspaceapi.com/api/v0/character/17']",http://finalspaceapi.com/api/episode/image/the_descent_into_darkness.jpg
23,The Sixth Key,08/23/2019,Yoriaki Mochizuki,Olan Rogers,"['https://finalspaceapi.com/api/v0/character/1', 'https://finalspaceapi.com/api/v0/character/4', 'https://finalspaceapi.com/api/v0/character/5', 'https://finalspaceapi.com/api/v0/character/6', 'https://finalspaceapi.com/api/v0/character/7', 'https://finalspaceapi.com/api/v0/character/8', 'https://finalspaceapi.com/api/v0/character/9', 'https://finalspaceapi.com/api/v0/character/12', 'https://finalspaceapi.com/api/v0/character/13', 'https://finalspaceapi.com/api/v0/character/16']",http://finalspaceapi.com/api/episode/image/the_sixth_key.jpg
